filename,provider,vcpu(s),device,instance,iteration,accuracy,runtime(ms),price,normalized_runtime,cost_per_task,normalized_cost
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,3,0.9876,240780.0,0.17,0.980226165243048,0.16663844809131817,0.9802261652430478
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,4,0.9868,244513.0,0.17,0.9954233754550768,0.16922197382736306,0.9954233754550766
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,5,0.9866,241547.0,0.17,0.9833486565992295,0.16716927162186904,0.9833486565992294
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,6,0.987,240549.0,0.17,0.9792857538958798,0.16647857816229958,0.9792857538958797
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,7,0.9872,240922.0,0.17,0.9808042536036448,0.1667367231126196,0.9808042536036445
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,8,0.9858,240688.0,0.17,0.9798516291220979,0.16657477695075665,0.9798516291220977
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,9,0.9874,244032.0,0.17,0.9934652029096747,0.1688890844946447,0.9934652029096745
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,10,0.9868,243502.0,0.17,0.9913075491694188,0.1685222833588012,0.9913075491694187
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,11,0.9868,242747.0,0.17,0.9882339103507524,0.1679997647596279,0.9882339103507521
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,12,0.9874,247007.0,0.17,1.0055765611686582,0.1709480153986719,1.005576561168658
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,13,0.9876,243971.0,0.17,0.9932168691773056,0.16884686776014196,0.9932168691773055
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,14,0.9862,242557.0,0.17,0.9874604118400946,0.1678682700128161,0.9874604118400945
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,15,0.9868,244059.0,0.17,0.993575121119084,0.16890777059024428,0.9935751211190837
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,16,0.9867,244043.0,0.17,0.993509984402397,0.1688966973484075,0.9935099844023969
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,17,0.9868,244826.0,0.17,0.9966976124752656,0.16943859412079515,0.9966976124752653
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,1,0.9869,637577.0,0.17,2.5956045259455385,0.4412527694107416,2.595604525945538
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,2,0.9862,589255.0,0.17,2.3988834994613017,0.40781019490842135,2.3988834994613013
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,3,0.9876,618571.0,0.17,2.5182302486110033,0.4280991422638706,2.518230248611003
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,4,0.986,628611.0,0.17,2.5591035383320775,0.4350476015164532,2.559103538332077
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,5,0.9876,628313.0,0.17,2.5578903669837825,0.434841362387243,2.557890366983782
microsoft_4_cpu_ml-1.out,microsoft,4,cpu,1,6,0.9865,688399.0,0.17,2.8025031644121148,0.47642553795005954,2.8025031644121143
