filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
amazon_4_cpu-3.out,amazon,4,cpu,3,6,64,10194.699999999999,159.29218749999998,0.17,0.9995213039357247,0.1699186216690732,0.9995213039357245
amazon_4_cpu-3.out,amazon,4,cpu,3,7,64,10197.4,159.334375,0.17,0.9997860206532962,0.16996362351106037,0.999786020653296
amazon_4_cpu-3.out,amazon,4,cpu,3,8,64,10186.199999999999,159.15937499999998,0.17,0.998687936491518,0.16977694920355807,0.9986879364915178
amazon_4_cpu-3.out,amazon,4,cpu,3,9,64,10208.0,159.5,0.17,1.0008252788778365,0.1701402974092322,1.0008252788778362
amazon_4_cpu-3.out,amazon,4,cpu,3,10,64,10198.2,159.346875,0.17,0.9998644552362805,0.16997695739016772,0.9998644552362804
amazon_4_cpu-2.out,amazon,4,cpu,2,1,64,10208.7,159.5109375,0.17,1.0008939091379476,0.1701519645534511,1.0008939091379474
amazon_4_cpu-2.out,amazon,4,cpu,2,2,64,10201.4,159.396875,0.17,1.000178193568217,0.1700302929065969,1.0001781935682168
amazon_4_cpu-2.out,amazon,4,cpu,2,3,64,10203.6,159.43125,0.17,1.0003938886714236,0.17006696107414204,1.0003938886714236
amazon_4_cpu-2.out,amazon,4,cpu,2,4,64,10208.8,159.5125,0.17,1.0009037134608205,0.1701536312883395,1.0009037134608203
amazon_4_cpu-2.out,amazon,4,cpu,2,5,64,10201.4,159.396875,0.17,1.000178193568217,0.1700302929065969,1.0001781935682168
amazon_4_cpu-2.out,amazon,4,cpu,2,6,64,10308.9,161.0765625,0.17,1.010717840656713,0.17182203291164122,1.0107178406567128
amazon_4_cpu-2.out,amazon,4,cpu,2,7,64,10204.599999999999,159.44687499999998,0.17,1.0004919319001535,0.1700836284230261,1.0004919319001533
amazon_4_cpu-2.out,amazon,4,cpu,2,8,64,10205.3,159.4578125,0.17,1.0005605621602647,0.170095295567245,1.0005605621602645
amazon_4_cpu-2.out,amazon,4,cpu,2,9,64,10211.2,159.55,0.17,1.0011390172097732,0.17019363292566145,1.001139017209773
amazon_4_cpu-2.out,amazon,4,cpu,2,10,64,10208.6,159.509375,0.17,1.0008841048150745,0.17015029781856267,1.0008841048150743
amazon_4_cpu-1.out,amazon,4,cpu,1,1,64,10195.4,159.303125,0.17,0.9995899341958359,0.1699302888132921,0.9995899341958357
amazon_4_cpu-1.out,amazon,4,cpu,1,2,64,10184.4,159.13125,0.17,0.9985114586798037,0.16974694797556664,0.9985114586798035
amazon_4_cpu-1.out,amazon,4,cpu,1,3,64,10193.8,159.278125,0.17,0.9994330650298675,0.16990362105507748,0.9994330650298673
amazon_4_cpu-1.out,amazon,4,cpu,1,4,64,10194.0,159.28125,0.17,0.9994526736756136,0.16990695452485433,0.9994526736756134
amazon_4_cpu-1.out,amazon,4,cpu,1,5,64,10193.5,159.2734375,0.17,0.9994036520612486,0.16989862085041227,0.9994036520612484
amazon_4_cpu-1.out,amazon,4,cpu,1,6,64,10197.6,159.3375,0.17,0.9998056292990424,0.16996695698083722,0.9998056292990423
amazon_4_cpu-1.out,amazon,4,cpu,1,7,64,10191.9,159.2484375,0.17,0.9992467828952802,0.16987195309219766,0.9992467828952801
amazon_4_cpu-1.out,amazon,4,cpu,1,8,64,10191.7,159.2453125,0.17,0.9992271742495342,0.16986861962242084,0.9992271742495341
amazon_4_cpu-1.out,amazon,4,cpu,1,9,64,10195.9,159.3109375,0.17,0.999638955810201,0.1699386224877342,0.9996389558102009
amazon_4_cpu-1.out,amazon,4,cpu,1,10,64,10193.300000000001,159.27031250000002,0.17,0.9993840434155026,0.16989528738063545,0.9993840434155024
amazon_4_cpu-1.out,amazon,4,cpu,1,11,64,10193.699999999999,159.27656249999998,0.17,0.9994232607069945,0.16990195432018906,0.9994232607069943
amazon_4_cpu-1.out,amazon,4,cpu,1,12,64,10200.6,159.384375,0.17,1.000099758985233,0.17001695902748962,1.0000997589852327
amazon_4_cpu-1.out,amazon,4,cpu,1,13,64,10196.400000000001,159.31875000000002,0.17,0.9996879774245663,0.16994695616217628,0.9996879774245662
amazon_4_cpu-1.out,amazon,4,cpu,1,14,64,10184.8,159.1375,0.17,0.9985506759712958,0.16975361491512028,0.9985506759712955
amazon_4_cpu-1.out,amazon,4,cpu,1,15,64,10198.4,159.35,0.17,0.9998840638820264,0.1699802908599445,0.9998840638820263
amazon_4_cpu-1.out,amazon,4,cpu,1,16,64,10191.1,159.2359375,0.17,0.9991683483122961,0.16985861921309034,0.9991683483122958
amazon_4_cpu-1.out,amazon,4,cpu,1,17,64,10191.9,159.2484375,0.17,0.9992467828952802,0.16987195309219766,0.9992467828952801
amazon_4_cpu-1.out,amazon,4,cpu,1,18,64,10186.3,159.1609375,0.17,0.9986977408143911,0.1697786159384465,0.998697740814391
amazon_4_cpu-1.out,amazon,4,cpu,1,19,64,10185.0,159.140625,0.17,0.9985702846170419,0.16975694838489713,0.9985702846170417
amazon_4_cpu-1.out,amazon,4,cpu,1,20,64,10191.7,159.2453125,0.17,0.9992271742495342,0.16986861962242084,0.9992271742495341
amazon_16_cpu-1.out,amazon,16,cpu,1,1,256,10226.2,39.94609375,0.68,0.2506524164101815,0.17044364315892344,1.002609665640726
amazon_16_cpu-1.out,amazon,16,cpu,1,2,256,10219.2,39.91875,0.68,0.2504808407599037,0.17032697171673453,1.0019233630396147
amazon_16_cpu-1.out,amazon,16,cpu,1,3,256,10232.300000000001,39.969921875000004,0.68,0.25080193233399506,0.17054531398711664,1.00320772933598
amazon_16_cpu-1.out,amazon,16,cpu,1,4,256,10228.9,39.956640625,0.68,0.2507185955895744,0.1704886450009106,1.0028743823582975
amazon_16_cpu-1.out,amazon,16,cpu,1,5,256,10232.699999999999,39.971484374999996,0.68,0.250811736656868,0.17055198092667026,1.0032469466274718
amazon_16_cpu-1.out,amazon,16,cpu,1,6,256,10226.0,39.9453125,0.68,0.250647514248745,0.1704403096891466,1.00259005699498
amazon_16_cpu-1.out,amazon,16,cpu,1,7,256,10212.7,39.893359375,0.68,0.2503215205132171,0.17021863394898765,1.0012860820528682
amazon_16_cpu-1.out,amazon,16,cpu,1,8,256,10232.699999999999,39.971484374999996,0.68,0.250811736656868,0.17055198092667026,1.0032469466274718
amazon_16_cpu-1.out,amazon,16,cpu,1,9,256,10230.3,39.962109375,0.68,0.2507529107196299,0.17051197928934836,1.0030116428785196
amazon_16_cpu-1.out,amazon,16,cpu,1,10,256,10224.5,39.939453125,0.68,0.2506107480379712,0.17041530866582041,1.0024429921518845
amazon_16_cpu-1.out,amazon,16,cpu,1,11,256,10232.699999999999,39.971484374999996,0.68,0.250811736656868,0.17055198092667026,1.0032469466274718
amazon_16_cpu-1.out,amazon,16,cpu,1,12,256,10227.800000000001,39.952343750000004,0.68,0.2506916337016736,0.17047031091713805,1.002766534806694
amazon_16_cpu-1.out,amazon,16,cpu,1,13,256,10225.099999999999,39.941796874999994,0.68,0.25062545452228063,0.17042530907515085,1.0025018180891225
amazon_16_cpu-1.out,amazon,16,cpu,1,14,256,10223.1,39.933984375,0.68,0.2505764329079156,0.17039197437738263,1.0023057316316624
amazon_16_cpu-1.out,amazon,16,cpu,1,15,256,10237.0,39.98828125,0.68,0.250917133127753,0.17062365052687203,1.0036685325110117
